Auction Program,Address,City,State,Zip,County,Property Type,Bedrooms,Bathrooms,Square Feet,Lot Size Value,Lot Size Type,Year Built,Occupancy Status,Pre-Auction Start Date,Pre-Auction End Date,Auction Start Date,Auction End Date,Foreclosure Sale Status,Foreclosure Sale Date,Listing Agent,Agent Email,Agent Phone,Broker Co-op Percent,Property URL
Foreclosure Sale,4016w 136th St,Savage,MN,55378,Scott,,,,,,,,,,,,,On Website,2/13/2020,,,,,https://www.hudsonandmarshall.com/property-details/4016w-136th-st-savage-55378-mn-united-states?utm_source=srpdownload&utm_medium=website
Foreclosure Sale,3634 N 4th St,Minneapolis,MN,55412,Hennepin,Single Family Home,,1,684,12632,SF,1910,,,,,,On Website,2/18/2020,,,,,https://www.hudsonandmarshall.com/property-details/3634-n-4th-st-minneapolis-55412-mn-united-states?utm_source=srpdownload&utm_medium=website
Foreclosure Sale,310 98th Ln Nw,Coon Rapids,MN,55433,Anoka,Single Family Home,3,,3116,,,2005,,,,,,On Website,2/20/2020,,,,,https://www.hudsonandmarshall.com/property-details/310-98th-ln-nw-coon-rapids-55433-mn-united-states?utm_source=srpdownload&utm_medium=website
Foreclosure Sale,2915 Logan Ave N,Minneapolis,MN,55411,Hennepin,,,,,,,,,,,,,On Website,2/20/2020,,,,,https://www.hudsonandmarshall.com/property-details/2915-logan-ave-n-minneapolis-55411-mn-united-states?utm_source=srpdownload&utm_medium=website
Foreclosure Sale,905 104th Ln Nw,Coon Rapids,MN,55433,Anoka,,,,,,,,,,,,,On Website,2/21/2020,,,,,https://www.hudsonandmarshall.com/property-details/905-104th-ln-nw-coon-rapids-55433-mn-united-states?utm_source=srpdownload&utm_medium=website
Foreclosure Sale,1171 4th St E,Saint Paul,MN,55106,Ramsey,,,,,,,,,,,,,On Website,2/25/2020,,,,,https://www.hudsonandmarshall.com/property-details/1171-4th-st-e-saint-paul-55106-mn-united-states?utm_source=srpdownload&utm_medium=website
Foreclosure Sale,14729 Dory Ct,Apple Valley,MN,55124,Dakota,,,,,,,,,,,,,On Website,2/25/2020,,,,,https://www.hudsonandmarshall.com/property-details/14729-dory-ct-apple-valley-55124-mn-united-states?utm_source=srpdownload&utm_medium=website
Foreclosure Sale,2017  4th St E,Saint Paul,MN,55119,Ramsey,,,,,,,,,,,,,On Website,2/25/2020,,,,,https://www.hudsonandmarshall.com/property-details/2017--4th-st-e-saint-paul-55119-mn-united-states?utm_source=srpdownload&utm_medium=website
Foreclosure Sale,4474 Rosemary Way 9,Hugo,MN,55038,Washington,,,,,,,,,,,,,On Website,3/10/2020,,,,,https://www.hudsonandmarshall.com/property-details/4474-rosemary-way-9-hugo-55038-mn-united-states?utm_source=srpdownload&utm_medium=website
Foreclosure Sale,664e 84th St,Bloomington,MN,55420,Hennepin,,,,,,,,,,,,,On Website,3/13/2020,,,,,https://www.hudsonandmarshall.com/property-details/664e-84th-st-bloomington-55420-mn-united-states?utm_source=srpdownload&utm_medium=website
Foreclosure Sale,217 Pine Hollow Dr,Circle Pines,MN,55014,Anoka,,4,3,2014,6750,SF,2005,,,,,,Postponed To,3/16/2020,,,,,https://www.hudsonandmarshall.com/property-details/217-pine-hollow-dr-circle-pines-55014-mn-united-states?utm_source=srpdownload&utm_medium=website
Foreclosure Sale,3223 41st Ave S,Minneapolis,MN,55406,Hennepin,,,,,,,,,,,,,On Website,3/23/2020,,,,,https://www.hudsonandmarshall.com/property-details/3223-41st-ave-s-minneapolis-55406-mn-united-states?utm_source=srpdownload&utm_medium=website
Foreclosure Sale,8816 Greene Ave S,Cottage Grove,MN,55016,Washington,,,,,,,,,,,,,On Website,3/24/2020,,,,,https://www.hudsonandmarshall.com/property-details/8816-greene-ave-s-cottage-grove-55016-mn-united-states?utm_source=srpdownload&utm_medium=website
